ejemplo, Profile #1
10.0
3
186
0
0
0	10	1	30.04
10	10	1	33.64
20	10	1	37.87
30	10	1	44.08
40	10	1	55
50	10	1	22.79
70	10	1	55.59
100	10	1	16.31
110	10	1	14.19
120	10	1	11.11
130	10	1	15.42
140	10	1	10.33
150	10	1	16.06
170	10	1	13.37
180	10	1	13.61
190	10	1	16.63
200	10	1	15.95
0	10	2	21.07
10	10	2	20.76
20	10	2	28.54
30	10	2	37.75
40	10	2	24.7
60	10	2	15.32
70	10	2	13.62
100	10	2	12.37
110	10	2	8.46
120	10	2	10.5
130	10	2	12.59
140	10	2	5.47
150	10	2	12.1
170	10	2	9.16
180	10	2	12.1
190	10	2	10.32
0	10	3	12.66
10	10	3	20.86
20	10	3	26.28
30	10	3	20.07
50	10	3	31.74
60	10	3	15.52
70	10	3	13.29
100	10	3	7.87
110	10	3	13.04
120	10	3	8.76
130	10	3	9.44
140	10	3	4.95
150	10	3	10.33
170	10	3	7.82
180	10	3	7.54
0	10	4	17.4
10	10	4	21.96
20	10	4	16.76
40	10	4	16.38
50	10	4	13.65
60	10	4	18.2
70	10	4	11.13
100	10	4	13.14
110	10	4	11.04
120	10	4	7
130	10	4	9.25
140	10	4	3.74
150	10	4	6.22
170	10	4	4.18
0	30	.3333	31.06
10	30	.3333	35.47
30	30	.3333	21.99
40	30	.3333	25.64
50	30	.3333	26.28
70	30	.3333	20.7
80	30	.3333	14.1
100	30	.3333	10.85
110	30	.3333	13.27
120	30	.3333	9.87
130	30	.3333	13.08
140	30	.3333	12.94
150	30	.3333	12.25
0	30	.6667	24.08
20	30	.6667	23.75
30	30	.6667	18.45
40	30	.6667	55.69
50	30	.6667	14.7
70	30	.6667	12.04
80	30	.6667	12.25
100	30	.6667	11.08
110	30	.6667	10.98
120	30	.6667	7.99
130	30	.6667	10.24
140	30	.6667	10.11
150	30	.6667	10.17
10	30	1	21.31
20	30	1	19.79
30	30	1	87.5
40	30	1	16.49
50	30	1	15.58
70	30	1	13.53
80	30	1	10.98
100	30	1	10.18
110	30	1	10.39
120	30	1	7.45
130	30	1	9.02
140	30	1	8.84
0	30	1.3333	19.56
10	30	1.3333	19.81
20	30	1.3333	86.46
30	30	1.3333	16.95
40	30	1.3333	18.03
50	30	1.3333	14.2
70	30	1.3333	12.13
80	30	1.3333	13.68
100	30	1.3333	9.62
110	30	1.3333	8.47
120	30	1.3333	7.07
130	30	1.3333	7.7
0	30	1.6667	20.05
20	30	1.6667	17.36
30	30	1.6667	17.83
40	30	1.6667	15.78
50	30	1.6667	15.07
70	30	1.6667	12.98
80	30	1.6667	11.68
100	30	1.6667	8.46
110	30	1.6667	7.82
120	30	1.6667	5.82
0	30	2	14.03
10	30	2	17.96
20	30	2	17.38
30	30	2	14.98
40	30	2	17.22
50	30	2	13.34
70	30	2	10.29
80	30	2	10.64
100	30	2	6.95
110	30	2	5.99
0	30	2.3333	19.24
10	30	2.3333	18.61
20	30	2.3333	13.2
30	30	2.3333	15.26
40	30	2.3333	13.14
50	30	2.3333	14.3
70	30	2.3333	8.93
80	30	2.3333	8.03
100	30	2.3333	5.34
0	30	2.6667	16.63
10	30	2.6667	13.93
20	30	2.6667	12.39
30	30	2.6667	12.19
40	30	2.6667	14.65
50	30	2.6667	10.81
70	30	2.6667	3.62
80	30	2.6667	6.56
0	30	3	13.98
10	30	3	12.97
20	30	3	8.4
30	30	3	12.08
40	30	3	11.04
50	30	3	7.67
70	30	3	4.52
80	30	3	4.51
0	30	3.3333	14.34
10	30	3.3333	9.44
20	30	3.3333	10.17
30	30	3.3333	9.15
40	30	3.3333	7.56
50	30	3.3333	1.33
70	30	3.3333	2.18
0	30	3.6667	12.96
10	30	3.6667	8.07
20	30	3.6667	6.59
30	30	3.6667	4.65
40	30	3.6667	1.9
50	30	3.6667	.58
0	30	4	2.77
10	30	4	5.1
40	30	4	1.51
0	50	1.8	9.23
10	50	1.8	12.52
20	50	1.8	13.05
30	50	1.8	6.84
0	50	2	10.6
10	50	2	13.83
20	50	2	6.6
30	50	2	5.03
0	50	2.2	5.58
10	50	2.2	6.54
0	50	2.4	3.66
10	50	2.4	5.08
0	50	2.6	3.78
0
0
0
0
0
